source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Vietnam Championship Series - LMHT,,2019-06-27 13:55:44,Tham vọng vô địch của Team Flash LOL Esports hay Dashing Buffalo Esports sẽ được thể hiện rõ nét hơn ở tuần 2 này? #VCS,2K,"1,9K",61,12,2,,2,51 bình luậ,3444287992249819,/story.php?story_fbid=3444287992249819&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-27 11:39:28,FL liệu sẽ khiến DBL đón nhận thất bại đầu tiên? #VCS,610,593,11,6,,,,29 bình luậ,3444090472269571,/story.php?story_fbid=3444090472269571&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-23 22:12:40,Đúng là cặp đấu cân tài cân sức và chiến thắng cho đội bản lĩnh hơn DBL! Tuần thi đấu đầu tiên của VCS Mùa Hè 2019 cũng đã khép lại #VCS,473,452,14,6,,1,,16 bình luậ,3434314656580486,/story.php?story_fbid=3434314656580486&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-23 17:23:23,Sức mạnh không thể chối cãi của Team Flash giúp họ có được chiến thắng 2-0 thứ 2 trong tuần 1 VCS Mùa Hè 2019 #VCS,660,628,22,10,,,,29 bình luậ,3433711383307480,/story.php?story_fbid=3433711383307480&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-23 12:43:59,Màn đụng độ giữa 2 tài năng trẻ Mias (EVS) và Raizo (DBL) rất đáng mong chờ 👍 #VCS,619,589,22,8,,,,20 bình luậ,3433251586686793,/story.php?story_fbid=3433251586686793&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-22 20:55:02,GAM tiếp tục có trận thua trắng thứ 2. Lần này đội đánh bại họ là tân binh QG! #VCS,"1,7K","1,5K",137,6,3,39,,119 bình luậ,3431432436868708,/story.php?story_fbid=3431432436868708&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-22 17:46:06,LK hoàn tất tuần thi đấu đầu tiên thành công với chiến thắng 2-0 trước CES! #VCS,822,785,25,10,1,1,,45 bình luậ,3431046356907316,/story.php?story_fbid=3431046356907316&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-21 20:38:34,GAM thất bại 2 ván trắng trước Lowkey Esports trong ngày ra quân của cả 2 đội tại #VCS mùa Hè 2019!,"2,8K","2,5K",234,20,6,90,2,177 bình luậ,3428741513804467,/story.php?story_fbid=3428741513804467&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-21 17:59:04,Chiến thắng khá dễ dàng cho Optimus cùng các đồng đội 👍 #VCS,"1,4K","1,3K",53,21,,1,,49 bình luậ,3428403967171555,/story.php?story_fbid=3428403967171555&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-21 14:30:46,Cuối tuần mới chiến mà gắt quá :v #VCS,"3,7K","3,4K",229,28,3,4,1,80 bình luậ,3428058957206056,/story.php?story_fbid=3428058957206056&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-21 12:04:26,Toàn những cặp đấu cân kèo 👍 #VCS,"1,9K","1,9K",22,14,1,,,37 bình luậ,3427839453894673,/story.php?story_fbid=3427839453894673&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-16 14:01:43,"TUYỂN DỤNG TRỌNG TÀI THỂ THAO ĐIỆN TỬ Số lượng tuyển dụng: 2 Địa điểm làm việc: GG Stadium, Quận 7, TP.HCM 🛑Mô tả công việc: ➡️ Vận hành, triển khai giải đấu VCS ➡️ Giám sát các trận đấu VCS tại GG Stadium  ➡️ Kiểm soát/Giải quyết các sự cố của tuyển thủ và sự cố giải đấu ➡️ Phối hợp với BTC để xử lí các vấn đề liên quan của giải đấu. 🛑Yêu cầu: ➡️ Có kinh nghiệm xây dựng/ tổ chức cộng đồng Esports là lợi thế ➡️ Có khả năng xử lí tình huống nhanh gọn, hợp lí. ➡️ Công bằng, chính trực. ➡️ Thái độ làm việc nghiêm túc, năng động trong công việc. ➡️ Kiến thức tốt về LMHT và các giải đấu trong nước và quốc tế 🛑Đãi ngộ: ➡️ Lương theo mùa ➡️ Làm việc trong môi trường trẻ trung, năng động, có cơ hội thăng tiến cao; ➡️ Cơ hội học hỏi các kiến thức và kĩ năng về trọng tài TTĐT chuẩn quốc tế. Hồ sơ vui lòng gửi về email: vetv.tuyendung@gmail.com -Email bao gồm thông tin cá nhân, nêu rõ kinh nghiệm/kiến thức liên quan đến LMHT hoặc phù hợp với yêu cầu công việc kèm một ảnh bản thân -Tiêu đề email ghi rõ [Dự tuyển Trọng Tài TTĐT]","Trần Nguyễn Minh Nghi và 2,6K người khác","2,5K",93,38,5,8,1,147 bình luậ,3414619588549993,/story.php?story_fbid=3414619588549993&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-11 19:46:29,"[THỂ THỨC VCS HÈ 2019] Ở mùa hè này, vòng playoffs của VCS sẽ thi đấu theo thể thức Double Elimination nhánh thắng nhánh thua để chọn ra 2 đội đại diện cho VCS ở CKTG 2019. Sau khi vòng bảng kết thúc, đội đứng đầu vòng bảng sẽ được phép chọn đối thủ trong 2 đội đứng thứ 3 và 4 để thi đấu ở vòng đầu. #VCS","2,9K","2,8K",108,33,46,2,3,194 bình luậ,3402084786470140,/story.php?story_fbid=3402084786470140&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-11 11:56:10,,"1,4K","1,2K",46,13,,22,110,41 bình luậ,3401289879882964,/vcslmht/photos/a.837321029613208/3401289879882964
Vietnam Championship Series - LMHT,,2019-06-11 10:09:23,"[THÔNG BÁO NGÀY KHAI MẠC MỚI VCS HÈ 2019 - 20/06/2019] BTC xin thông báo ngày khai mạc mới của VCS Hè 2019 là ngày thứ năm 20/06/2019. Lí do: sau khi MSI kết thúc, GG Stadium phải tiến hành tu sửa đồng thời nâng cấp các hạng mục mới cho VCS. Tiến trình này hiện tại kéo dài hơn dự kiến. Chúng tôi muốn đảm bảo rằng ngôi nhà của VCS, GG Stadium, sẽ ở trong trạng thái hoàn hảo nhất để tiến hành mùa giải quan trọng nhất lịch sử VCS để tìm ra 2 đại diện tại CKTG. Một tuần nữa là một khoảng thời gian đáng để chờ đợi để đảm bảo rằng VCS sẽ được tiến hành suôn sẻ ngay từ ngày khai mạc. BTC xin chân thành cáo lỗi đến các đội và người hâm mộ đang rất háo hức chờ đợi. Chúng tôi xin cám ơn sự thông cảm của mọi người và mong tất cả sẽ tiếp tục giữ sự hào hứng đến ngày 20/06/2019.",Trần Nguyễn Minh Nghi và 5K người khác,"3,8K",218,53,13,98,768,433 bình luậ,3401108899901062,/story.php?story_fbid=3401108899901062&id=837317842946860
Vietnam Championship Series - LMHT,,2019-06-03 21:47:06,Lịch thi đấu VCS Hè 2019 #VCS,"Trần Nguyễn Minh Nghi và 2,8K người khác","2,6K",74,76,8,2,1,218 bình luậ,3380993051912647,/story.php?story_fbid=3380993051912647&id=837317842946860
Vietnam Championship Series - LMHT,,2019-05-29 18:06:44,"[Thông báo về Zeros Phạm Minh Lộc] Trong thời gian vừa qua, Ban tổ chức giải VCS (BTC) đã nhận thông tin, tiến hành xác minh và đưa ra những quyết định sau: -GAM còn hợp đồng với Zeros: Vào thời điểm trước khi bắt đầu VCS Hè 2018, đại diện GAM là ông Đặng Tuấn Linh đã xác nhận với BTC VCS cho phép vận động viên Phạm Minh Lộc (Zeros) rời khỏi GAM. Do đó, hợp đồng của GAM với Zeros không còn hiệu lực. -Zeros vi phạm quy định về không tuân thủ hợp đồng, đi đêm: Ngày 28/05/2019, đại diện GAM gửi BTC bằng chứng cáo buộc Zeros vi phạm hợp đồng, có mặt ở gaming house PVB khi không có sự cho phép của đội chủ quản. Vào thời điểm xảy ra vụ việc, tháng 02/2018, Zeros vẫn còn hợp đồng với GAM. (Link ảnh: https://drive.google.com/file/d/1ml20haiFOEIlQEXzJ_QjgG1HO8l-jluf/view?usp=sharing) Qua làm việc trực tiếp với BTC, Zeros đã chủ động thừa nhận việc vi phạm của mình theo quy định về “kêu gọi, xúi giục” (poaching, tampering). Kêu gọi và xúi giục Các đấu thủ hoặc người quen của đấu thủ không được phép tự ý xin gia nhập hoặc dụ dỗ, xúi giục những đấu thủ khác đang trong đội thi đấu tại mùa giải hiện tại về các đội khác. Không khuyến khích các đấu thủ đối phương hủy bỏ hợp đồng với đội hiện tại của họ. Mọi hoạt động chuyển nhượng phải được thông qua người quản lý đội. Quyết định xử phạt: -Vô hiệu hóa hợp đồng của Zeros với PVB sau khi rời GAM do đây là kết quả của hành vi đi đêm, mặc dù đây là hợp đồng được kí kết tự nguyện giữa Zeros và PVB. -Zeros trở thành vận động viên tự do kể từ thời điểm của thông báo này. Tất cả các đội có thể liên hệ tiếp xúc với Zeros để kí hợp đồng mới. -Zeros bị cấm thi đấu 6 trận ở VCS, tính từ thời điểm bất kì một đội nào đăng kí Zeros vào đội hình thi đấu. Về cơ sở dữ liệu hợp đồng và quy định chuyển nhượng Trong khoảng thời gian vừa qua, VCS đã bị chậm hơn so với các khu vực khác về cơ sở dữ liệu hợp đồng (Global Contract Database), dẫn tới nhiều khó khăn cho các đội trong việc tiến hành chuyển nhượng. BTC xin chân thành gửi lời xin lỗi đến tất cả các đội trong thời gian qua. Vào thời điểm bắt đầu VCS Mùa Hè 2019, cơ sở dữ liệu hợp đồng sẽ được cập nhật và các quy định về chuyển nhượng sẽ được hoàn thiện. Tất cả mọi vi phạm trong thời gian sắp tới sẽ được tiến hành xử lý nghiêm khắc hơn.",Trần Nguyễn Minh Nghi và 12K người khác,10K,1K,136,457,126,27,2.193 bình luậ,3367635896581696,/story.php?story_fbid=3367635896581696&id=837317842946860
Vietnam Championship Series - LMHT,,2019-05-20 14:02:49,"QUYẾT ĐỊNH XỬ PHẠT GAM Esports gửi đơn khiếu nại vận động viên Nguyễn Phan Đình Khôi (Spot) về các hành vi vi phạm hợp đồng, phá hoại tập luyện và lôi kéo các thành viên khác của GAM rời gaming house. *Các hành vi phá hoại tập luyện kéo dài từ tháng 2 đến tháng 3/2019 được quay lại trong video replay bao gồm:  -Không giao tiếp với đồng đội -Cố tình chết -Sử dụng chiêu cuối ép giao tranh trong tình huống bất lợi Hậu quả: GAM bị các đối tác nước ngoài hủy lịch tập luyện *Lôi kéo các thành viên khác bỏ tập và rời gaming house của GAM Esports. Nội dung đã được xác nhận bởi các thành viên của GAM. Trong suốt thời gian này, GAM Esports vẫn tôn trọng hợp đồng và trả lương đầy đủ cho Spot. Xem xét các bằng chứng của GAM gửi bao gồm link video các trận đấu tập của Spot, xác nhận lời khai từ các thành viên khác của GAM, BTC quyết định cấm thi đấu Spot trong vòng một năm khỏi tất cả các giải đấu được tổ chức bởi Garena Việt Nam.","9,7K","8,3K",790,50,472,117,11,777 bình luậ,3344841718861114,/story.php?story_fbid=3344841718861114&id=837317842946860
Vietnam Championship Series - LMHT,,2019-04-22 21:28:23,"Hi anh em, Hiện tại quà cuối mùa chương trình dự đoán VCS 2019 mình chỉ nhận được thông tin của 4 bạn trúng thưởng, còn thiếu 3 bạn như danh sách bên dưới nha. Các bạn nào được giải dự đoán tuần mà chưa gửi thông tin thì vui lòng gửi giúp mình nhé. P/S: Các bạn nhận được Gift Code Trang Phục Hiếm sẽ được nhân viên bên mình liên lạc qua điện thoại sớm nhất có thể.",541,521,11,6,3,,,29 bình luậ,3279100235435263,/story.php?story_fbid=3279100235435263&id=837317842946860
Vietnam Championship Series - LMHT,,2019-04-16 21:07:31,"Hi anh em, vậy là chương trình dự đoán kết quả thi đấu VCS Xuân 2019 cùng ClearMen đã kết thúc, Admin xin thông báo danh sách các bạn đã trúng thưởng từ nhà tài trợ ClearMen ở danh sách phía dưới. 👍 Danh sách: https://docs.google.com/spreadsheets/d/1b7HLfpew41Y67IhRoiBUQvriSSIx6qmmuiQ92V-fFj8/edit?usp=sharing Các bạn trúng thưởng vui lòng nhắn tin vào Fanpage https://www.facebook.com/vcslmht/ với nội dung như sau: 1. Thông tin UID, Nick name của mình (+ Hình ảnh) 2. Số Điện Thoại, Số CMND (+ Hình ảnh) 3. Thông tin địa chỉ 🔥Ngày chốt thông tin: 24h chủ nhật ngày 21/04/2019. #VCS #ClearMen #Unbeatable",235,224,,3,,7,1,44 bình luậ,3264548570223763,/story.php?story_fbid=3264548570223763&id=837317842946860
Vietnam Championship Series - LMHT,,2019-04-13 20:42:54,"Sau 4 ván đấu cực kỳ căng thẳng, cuối cùng đội tuyển Phong Vũ Buffalo lại 1 lần nữa lên ngôi vô địch VCS Xuân 2019 sau khi đánh bại những chú hổ trắng EVOS Esports với phong độ tỏa sáng của các thành viên, đặc biệt là Bigkoro khi anh đã được bầu chọn là MVP của cặp trận Chung Kết. Xin chúc cho đội tuyển Phong Vũ Buffalo đạt được thành tích tốt tại MSI 2019 sắp tới. Bên cạnh đó, Dia1 cũng là Tân Binh Xuất Sắc Nhất mùa giải và Zeros là MVP Vòng Bảng VCS xuân 2019. #ClearMen #VCS #Unbeatable",863,809,24,28,1,1,,31 bình luậ,3258008357544451,/story.php?story_fbid=3258008357544451&id=837317842946860
Vietnam Championship Series - LMHT,,2019-04-13 13:30:56,"Trận chung kết của VCS Mùa Xuân 2019 sẽ trận chiến đấu cuối cùng giữa 2 đội tuyển Phong Vũ Buffalo và EVOS Esports. Liệu ai sẽ lên ngôi vô địch VCS và đại diện cho Việt Nam thi đấu MSI 2019. Link theo dõi: https://youtu.be/BSTSUv-7hLA Trong cuộc đối đầu này, có những nhiều điều đáng chú ý mà chúng ta không thể bỏ qua, đó chính là các cặp đấu sau: 1. ""Đại Đế"" chiến ""Ma Vương"" 2. Tân binh Dia1 vs ""Best Solo DNA"" Naul 3. AD ""Quất hết"" đấu súng ""Rô Chó Điên"" Và đừng quên rằng đứng sau 2 đội tuyển có thể nói mạnh nhất VN ở thời điểm hiện tại đó chính là 2 cái tên vô cùng quen thuộc, HLV Violet và Ngài Ren sẽ có 1 cuộc so tài cấm chọn đầy cân não. http://lienminh360.vn/esports/chung-ket-vcs-mua-xuan-2019-16h00-ngay-134-pvb-vs-evs-cuoc-chien-cuoi-cung/",601,575,11,14,,1,,18 bình luậ,3257353574276596,/story.php?story_fbid=3257353574276596&id=837317842946860
Vietnam Championship Series - LMHT,,2019-04-11 15:07:20,,406,387,9,9,,1,,26 bình luậ,3253059778039309,/vcslmht/photos/a.837321029613208/3253059778039309
Vietnam Championship Series - LMHT,,2019-04-06 21:02:45,Ngày thi đấu với rất nhiều bất ngờ khi binh đoàn Autobot Tây Nguyên của Optimus đã gục ngã trước tân binh Dia1 với tỷ số thuyết phục 3-1 cho EVOS. Có lẽ áp lực tâm lý trong những vòng đấu playoffs là cực kỳ căng thẳng cho các tuyển thủ SGD khi đa số thành viên họ chỉ tham gia thi đấu VCSA lần đầu và lọt vào vòng Playoffs. Và 1 lần nữa xin chúc mừng EVOS Esports họ đã vượt qua 2 đối thủ cực kỳ khó nhằn là FFQ và SGD. Trận chiến cuối cùng của họ sẽ đối mặt là cái tên có thể nói là mạnh nhất VCSA ở thời điểm hiện tại Phong Vũ Buffalo.  Cặp trận đấu cuối cùng để tìm ra người đại diện khu vực Việt Nam sẽ diễn ra vào lúc 16h00 ngày 13/04/2019. #ClearMen #VCS #Unbeatable,776,739,21,12,2,1,1,60 bình luậ,3242685775743376,/story.php?story_fbid=3242685775743376&id=837317842946860
Vietnam Championship Series - LMHT,,2019-04-06 15:15:15,,166,161,,5,,,,1 bình luậ,3242122892466331,/vcslmht/photos/a.837321029613208/3242122892466331
Vietnam Championship Series - LMHT,,2019-04-06 15:12:05,"Cuộc đối đầu hứa hẹn sẽ vô cùng hấp dẫn bởi hai đội tuyển này vừa có kĩ năng cá nhân thượng thừa, vừa có lối đánh chiến thuật khoa học. Sau vòng bảng, hai đội bất phân thắng bại và lần này chỉ có một đội tuyển chiến thắng chung cuộc. Nhiều khả năng, hai đội sẽ phải cần đến 5 ván đấu mới có thể tìm ra đội chiến thắng. #ClearMen #VCS #Unbeatable",853,837,10,5,,1,,21 bình luậ,3242118785800075,/story.php?story_fbid=3242118785800075&id=837317842946860
Vietnam Championship Series - LMHT,,2019-03-30 22:25:27,"Sau 5 ván đấu cực kỳ căng thẳng, có thể nói FFQ đã chơi hay hơn EVS trong những phút đầu của trận đấu. Tuy nhiên với bản lĩnh giao tranh về cuối trận, EVS đã xuất sắc đánh bại FFQ với tỷ số 3-2.  Đặc biệt là ở ván đấu thứ 5, khi mà Stark có được con bài Ryze. Thi đấu cực kỳ thăng hoa và có những tình huống marco rất tinh tế, điều đó đã giúp anh có được MVP chung cuộc ngày hôm nay. #ClearMen #VCS #Unbeatable",765,735,20,8,,1,1,33 bình luậ,3227027323975888,/story.php?story_fbid=3227027323975888&id=837317842946860
Vietnam Championship Series - LMHT,,2019-03-30 15:11:54,"Trận thư hùng nảy lửa đầu tiên của vòng Playoffs sẽ chính thức diễn ra vào lúc 16h hôm nay. Liệu 1 Phượng Hoàng Lửa với phong độ không thể đoán được hay 1 Bạch Hổ EVS với lối đánh chắc chắn, ai sẽ là chủ nhân chiếc vé đi tiếp? *Phiên bản thi đấu 9.6, thể thức BO5, EVS sẽ được chọn team ở ván 1-3-5. #ClearMen #Unbeatable #VCS","1,8K","1,7K",11,17,2,2,,24 bình luậ,3226286500716637,/story.php?story_fbid=3226286500716637&id=837317842946860
Vietnam Championship Series - LMHT,,2019-03-29 14:37:26,,363,347,4,11,1,,,19 bình luậ,3223969067615047,/vcslmht/photos/a.837321029613208/3223969067615047
Vietnam Championship Series - LMHT,,2019-03-25 19:33:47,"Thông báo kết quả trúng thưởng Tuần 8 chương trình “Dự đoán VCS 2019 cùng ClearMen” 🏆 10 bộ giải thưởng bao gồm: 1 bộ tặng phẩm từ ClearMen + 5 Rương Tuyệt Phẩm & Chìa Khóa 👥 Danh sách ở ảnh bên dưới nha! Các bạn trúng thưởng vui lòng nhắn tin cho chúng tôi tại Page VCS này nhé, phần thưởng Ingame của các bạn sẽ được trao trong thời gian sớm nhất. ⚡️Bên cạnh đó tuần dự đoán kế tiếp (Vòng Knock-Out 1) đang diễn ra tại: http://bit.ly/dựđoánClearMen. 👍👍👍Vòng này dự đoán đúng sẽ được 3 điểm nha mọi người. Sau khi dự đoán tất cả trận đấu của tuần nào thì nhớ KHÓA DỰ ĐOÁN và CHIA SẺ để được tính điểm nhé 🔥🔥Chú ý: Khi chia sẻ kết quả dự đoán trên Facebook ở chế độ Công khai với đủ 3 hashtag #VCS #ClearMen #Unbeatable bạn sẽ có cơ hội nhận được phần thưởng từ Ban Tổ Chức (mặc định cơ chế share là chỉ có hashtag #ClearMen nên anh em chú ý thêm 2 hashtag còn lại vào nha).",93,92,,1,,,,12 bình luậ,3215443881800899,/story.php?story_fbid=3215443881800899&id=837317842946860
Vietnam Championship Series - LMHT,,2019-03-24 21:55:43,"Vậy là giai đoạn vòng bảng VCS Xuân 2019 đã kết thúc. Chúc mừng 4 đội tuyển FFQ, EVS, SGD và PVB sẽ có mặt trong các vòng kế tiếp. Chúc mừng Zeros đạt danh hiệu MVP vòng bảng với 1100 điểm MVP. Vòng Knock Out 1 sẽ bắt đầu vào ngày 30/3 vào lúc 16h00 giữa 2 đội tuyển FFQ và EVS. #ClearMen #VCS #Unbeatable.",401,385,9,6,,1,,22 bình luậ,3213579445320676,/story.php?story_fbid=3213579445320676&id=837317842946860
Vietnam Championship Series - LMHT,,2019-03-24 15:38:47,"Có vẻ như ngày thi đấu hôm nay các đội sẽ đánh ít chiến thuật hơn, thay vào đó là những lựa chọn dị theo lối đánh "" quẩy hết mình"" và cống hiến những pha Solo Kill tuyệt vời cho khán giả. #ClearMen #VCS #Unbeatable","1,5K","1,5K",24,4,1,1,,8 bình luậ,3212997795378841,/story.php?story_fbid=3212997795378841&id=837317842946860
Vietnam Championship Series - LMHT,,2019-03-23 21:52:10,"PVB có được 2 chiến thắng dễ dàng trước FTV với sự có mặt của XuHao thay cho Meliodas. Mém chút nữa là double MVP cho XuHao rồi. Bên cạnh đó Celebrity cũng đã có màn trình diễn rất tốt với 2 con bài Kalista và Kai'Sa, giúp đội tuyển của mình có mặt ở vòng PlayOffs sắp tới. #VCS #ClearMen #Unbeatable",393,384,2,5,2,,,12 bình luậ,3211451878866766,/story.php?story_fbid=3211451878866766&id=837317842946860
Vietnam Championship Series - LMHT,,2019-03-23 15:38:42,"FFQ có quyền tự quyết vé vào Playoffs nếu họ chiến thắng CES ngày hôm nay. Còn nếu thua, số phận của CES và FFQ sẽ phụ thuộc vào trận đấu giữa GAM và CR vào ngày mai. Trích dẫn lời bạn Soi Doi: FFQ win CES -> FFQ vào top 4 CES win FFQ + GAM thua CR -> CES vào top 4 CES win FFQ + GAM win CR -> FFQ vào top 4 #ClearMen #VCS #Unbeatable",825,806,11,8,,,,13 bình luậ,3210885508923403,/story.php?story_fbid=3210885508923403&id=837317842946860
Vietnam Championship Series - LMHT,,2019-03-22 20:50:09,"Có vẻ như các đội tuyển chiếu dưới khi không còn áp lực, họ đánh với 1 bộ mặt khác hẳn. Và tiếp nối thành công của CR, FTV đã chiến thắng GAM với tỷ số 2-0. Bên cạnh đó PVB vẫn giữ phong độ của nhà đương kim vô địch. #ClearMen #VCS #Unbeatable",539,517,12,9,,1,,21 bình luậ,3209193355759285,/story.php?story_fbid=3209193355759285&id=837317842946860
Vietnam Championship Series - LMHT,,2019-03-22 18:54:16,Làm tý động lực leo Top cao hơn anh em nhỉ? #ClearMen #VCS #Unbeatble,804,762,33,7,1,,1,8 bình luậ,3208979152447372,/story.php?story_fbid=3208979152447372&id=837317842946860
